rank,feature,importance
1,deposit_type_Non Refund,0.18021289745260305
2,lead_time,0.10656910692957881
3,country_group_PRT,0.09669236744250331
4,market_segment_Online TA,0.0682845983080101
5,deposit_type_No Deposit,0.0679255979303229
6,total_of_special_requests,0.06434690714270618
7,agent,0.06389010106378605
8,required_car_parking_spaces,0.04165324024482129
9,adr,0.03307530808777352
10,arrival_date_year,0.032137836292094574
11,previous_cancellations,0.02719424129315549
12,arrival_date_week_number,0.026124716720344797
13,customer_type_Transient,0.02188638239627666
14,arrival_date_day_of_month,0.01916090685995572
15,booking_changes,0.016287575791502782
16,total_stays,0.013909545293585417
17,arrival_month_number,0.009382805533011811
18,stays_in_week_nights,0.00883643917266195
19,market_segment_Offline TA/TO,0.008364211535928819
20,customer_type_Transient-Party,0.008068846825474927
21,stays_in_weekend_nights,0.006925086279590071
22,previous_bookings_not_canceled,0.0059940239909386595
23,distribution_channel_TA/TO,0.004466192464961155
24,market_segment_Direct,0.0041131651274003665
25,hotel_Resort Hotel,0.003470780891831176
26,total_guests,0.003416322675999805
27,country_group_DEU,0.003204546061882874
28,adults,0.003180915716980994
29,hotel_City Hotel,0.003094648885489339
30,company,0.002802147919362153
31,market_segment_Groups,0.0023978642797065175
32,distribution_channel_Direct,0.0022978475360027474
33,country_group_Other,0.0022585168533430303
34,meal_BB,0.0021534059964263717
35,country_group_ITA,0.00213863437244295
36,country_group_GBR,0.0020605808424689924
37,days_in_waiting_list,0.0020576323079663063
38,meal_HB,0.0018280008334124488
39,country_group_ESP,0.0018040984212800916
40,country_group_FRA,0.001743774244702763
41,reserved_room_type_A,0.0017273901327015256
42,reserved_room_type_D,0.0016507564595788658
43,is_repeated_guest,0.0016215926325499977
44,meal_Undefined,0.0014541940572474006
45,meal_SC,0.0013947009950509488
46,has_agent,0.0012581865494258621
47,children,0.0012352866489726473
48,market_segment_Corporate,0.0011881029033028881
49,country_group_BRA,0.0011298173222044846
50,reserved_room_type_E,0.001070859147274462
